unified_sample_key	raw_file_name	raw_file_path	branch_A_cluster_label	branch_B_cluster_label	branch_C_cluster_label	branch_only_consensus_class	confidence_or_agreement_score	notes
36	5237a678-9f82-4aa3-a874-39179cff6ba5.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/5237a678-9f82-4aa3-a874-39179cff6ba5.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
37	336b678c-b044-4b16-aa80-82c9ab769326.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/336b678c-b044-4b16-aa80-82c9ab769326.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
38	69faa26c-4763-411b-affb-5eee559b70e1.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/69faa26c-4763-411b-affb-5eee559b70e1.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
39	e36091c6-d62c-4997-bb9f-7192b73f12ed.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e36091c6-d62c-4997-bb9f-7192b73f12ed.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
40	075029c6-31b2-4b4a-9945-b905fc6bf730.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/075029c6-31b2-4b4a-9945-b905fc6bf730.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
41	e7b0cb4b-d9c4-440f-b5d4-857d7e53e303.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e7b0cb4b-d9c4-440f-b5d4-857d7e53e303.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
42	141d1d6b-251b-48cf-abfd-bdbfdd0605b7.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/141d1d6b-251b-48cf-abfd-bdbfdd0605b7.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
43	d89d1ff1-7285-458d-8c32-2446a1d98b7b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d89d1ff1-7285-458d-8c32-2446a1d98b7b.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
44	d7b7ba93-518f-4ee9-a966-d5eb7c3cc8f3.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d7b7ba93-518f-4ee9-a966-d5eb7c3cc8f3.rna_seq.augmented_star_gene_counts.tsv	2	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
45	b7a4bdef-c538-4f6f-9892-b21620ff02bc.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/b7a4bdef-c538-4f6f-9892-b21620ff02bc.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
46	8a3c7c61-631f-4dd0-83fe-d2bbb33a17a4.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/8a3c7c61-631f-4dd0-83fe-d2bbb33a17a4.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
47	4182c637-8f3b-4e58-8ea9-e8c9859bfbd3.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/4182c637-8f3b-4e58-8ea9-e8c9859bfbd3.rna_seq.augmented_star_gene_counts.tsv	2	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
48	4f0a0b90-41cb-4ea7-97e0-5f771dc22fb2.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/4f0a0b90-41cb-4ea7-97e0-5f771dc22fb2.rna_seq.augmented_star_gene_counts.tsv	2	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
49	0ad4aa09-9a11-464b-a080-cc9fad5da4ca.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0ad4aa09-9a11-464b-a080-cc9fad5da4ca.rna_seq.augmented_star_gene_counts.tsv	4	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
50	0601cab0-163f-48e4-bc9f-87b068d8b591.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0601cab0-163f-48e4-bc9f-87b068d8b591.rna_seq.augmented_star_gene_counts.tsv	0	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
51	f4e07a40-74e5-4c35-ae98-7ca190fff6c9.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f4e07a40-74e5-4c35-ae98-7ca190fff6c9.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
52	520c0e78-f0a3-4e46-8c8e-00cf654e100d.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/520c0e78-f0a3-4e46-8c8e-00cf654e100d.rna_seq.augmented_star_gene_counts.tsv	0	2	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
53	7a25193c-a87d-4929-b724-3d89553fa028.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/7a25193c-a87d-4929-b724-3d89553fa028.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
54	ce5fb607-99c5-457f-9022-df38b540fce6.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/ce5fb607-99c5-457f-9022-df38b540fce6.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
55	ef9cc9ef-1cf3-46fc-b3cb-06ea0582b7fa.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/ef9cc9ef-1cf3-46fc-b3cb-06ea0582b7fa.rna_seq.augmented_star_gene_counts.tsv	0	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
56	1ccc2b22-7f6c-4973-a6fa-f2c4d6be6dba.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/1ccc2b22-7f6c-4973-a6fa-f2c4d6be6dba.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
57	9aa2f274-51ab-4e29-b555-407bf3ef21fd.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/9aa2f274-51ab-4e29-b555-407bf3ef21fd.rna_seq.augmented_star_gene_counts.tsv	0	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
58	7f316dbf-94f8-467e-89fc-ae78a91348b5.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/7f316dbf-94f8-467e-89fc-ae78a91348b5.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
59	fe757d4a-9d17-4a14-a198-dfe57e6c00f2.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/fe757d4a-9d17-4a14-a198-dfe57e6c00f2.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
60	89154592-5e65-4616-bbfc-3cf8999363db.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/89154592-5e65-4616-bbfc-3cf8999363db.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
61	f78bc420-1d4a-4b75-b400-65352b99b4e8.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f78bc420-1d4a-4b75-b400-65352b99b4e8.rna_seq.augmented_star_gene_counts.tsv	2	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
62	1a61593f-909e-46f4-8cfa-9e23bc050033.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/1a61593f-909e-46f4-8cfa-9e23bc050033.rna_seq.augmented_star_gene_counts.tsv	1	1	3	3	1.0	Consensus derived from A/B/C co-association matrix (K=4)
63	ecd2943f-37ab-4c0c-88ab-078c6ba15953.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/ecd2943f-37ab-4c0c-88ab-078c6ba15953.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
64	3d122d0e-749d-4388-a74a-a2266792e5de.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/3d122d0e-749d-4388-a74a-a2266792e5de.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
65	79431769-1471-4ae8-b324-3f02d1a25507.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/79431769-1471-4ae8-b324-3f02d1a25507.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
66	81dcfef2-2a70-4868-bc63-4aeaf924aa7b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/81dcfef2-2a70-4868-bc63-4aeaf924aa7b.rna_seq.augmented_star_gene_counts.tsv	2	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
67	93803595-0b8a-4d0b-9439-e1d7d1eb6fd4.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/93803595-0b8a-4d0b-9439-e1d7d1eb6fd4.rna_seq.augmented_star_gene_counts.tsv	2	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
68	c93e41f3-3a23-4757-af8c-af11fab60b52.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/c93e41f3-3a23-4757-af8c-af11fab60b52.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
69	28016f07-a161-43bc-954d-d5ad756bb40b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/28016f07-a161-43bc-954d-d5ad756bb40b.rna_seq.augmented_star_gene_counts.tsv	0	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
70	e1f24215-12d6-400a-b527-cee0c4d7ef8a.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/e1f24215-12d6-400a-b527-cee0c4d7ef8a.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
71	c47a6a50-b448-4736-b29d-bea454e28085.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/c47a6a50-b448-4736-b29d-bea454e28085.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
72	bdd0d102-23f1-4b2d-9080-4eb1c933ddd7.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/bdd0d102-23f1-4b2d-9080-4eb1c933ddd7.rna_seq.augmented_star_gene_counts.tsv	4	3	3	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
73	24178d00-81ec-4873-a319-0a329f3e71f2.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/24178d00-81ec-4873-a319-0a329f3e71f2.rna_seq.augmented_star_gene_counts.tsv	3	0	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
74	f489cec9-6f4b-4364-b85a-d34cbc8c2015.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f489cec9-6f4b-4364-b85a-d34cbc8c2015.rna_seq.augmented_star_gene_counts.tsv	4	3	1	2	1.0	Consensus derived from A/B/C co-association matrix (K=4)
75	5eb967ae-6a4a-4109-948c-36f00dc471fe.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/5eb967ae-6a4a-4109-948c-36f00dc471fe.rna_seq.augmented_star_gene_counts.tsv	3	2	2	1	1.0	Consensus derived from A/B/C co-association matrix (K=4)
76	0819aec9-9ebc-4446-9174-08d564d32fcd.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0819aec9-9ebc-4446-9174-08d564d32fcd.rna_seq.augmented_star_gene_counts.tsv	2	0	0	0	1.0	Consensus derived from A/B/C co-association matrix (K=4)
